date,state,number
1999-03-01,"ALAGOAS",52
1999-04-01,"ALAGOAS",4
1999-05-01,"ALAGOAS",1
1999-06-01,"ALAGOAS",0
1999-07-01,"ALAGOAS",0
1999-08-01,"ALAGOAS",3
1999-09-01,"ALAGOAS",3
1999-10-01,"ALAGOAS",4
1999-11-01,"ALAGOAS",15
1999-12-01,"ALAGOAS",12
1999-01-01,"AMAPÁ",0
1999-02-01,"AMAPÁ",1
1999-03-01,"AMAPÁ",2
1999-04-01,"AMAPÁ",0
1999-05-01,"AMAPÁ",0
1999-06-01,"AMAPÁ",2
1999-07-01,"AMAPÁ",0
1999-08-01,"AMAPÁ",0
1999-09-01,"AMAPÁ",4
1999-10-01,"AMAPÁ",25
1999-11-01,"AMAPÁ",26
1999-12-01,"AMAPÁ",41
1999-01-01,"AMAZONAS",3
1999-02-01,"AMAZONAS",43
1999-03-01,"AMAZONAS",7
1999-04-01,"AMAZONAS",2
1999-05-01,"AMAZONAS",0
1999-06-01,"AMAZONAS",7
1999-07-01,"AMAZONAS",11
1999-08-01,"AMAZONAS",259
1999-09-01,"AMAZONAS",216
1999-10-01,"AMAZONAS",479
1999-11-01,"AMAZONAS",32
1999-12-01,"AMAZONAS",2
1999-01-01,"BAHIA",114
1999-02-01,"BAHIA",157
1999-03-01,"BAHIA",83
1999-04-01,"BAHIA",55
1999-05-01,"BAHIA",76
1999-06-01,"BAHIA",64
1999-07-01,"BAHIA",107
1999-08-01,"BAHIA",453
1999-09-01,"BAHIA",1275
1999-10-01,"BAHIA",1307
1999-11-01,"BAHIA",49
1999-12-01,"BAHIA",37
1999-01-01,"CEARÁ",47
1999-02-01,"CEARÁ",16
1999-03-01,"CEARÁ",30
1999-04-01,"CEARÁ",6
1999-05-01,"CEARÁ",5
1999-06-01,"CEARÁ",16
1999-07-01,"CEARÁ",83
1999-08-01,"CEARÁ",131
1999-09-01,"CEARÁ",124
1999-10-01,"CEARÁ",309
1999-11-01,"CEARÁ",524
1999-12-01,"CEARÁ",397
1999-01-01,"DISTRITO FEDERAL",0
1999-02-01,"DISTRITO FEDERAL",2
1999-03-01,"DISTRITO FEDERAL",0
1999-04-01,"DISTRITO FEDERAL",0
1999-05-01,"DISTRITO FEDERAL",0
1999-06-01,"DISTRITO FEDERAL",3
1999-07-01,"DISTRITO FEDERAL",4
1999-08-01,"DISTRITO FEDERAL",16
1999-09-01,"DISTRITO FEDERAL",12
1999-10-01,"DISTRITO FEDERAL",8
1999-11-01,"DISTRITO FEDERAL",1
1999-12-01,"DISTRITO FEDERAL",0
1999-01-01,"ESPÍRITO SANTO",33
1999-02-01,"ESPÍRITO SANTO",10
1999-03-01,"ESPÍRITO SANTO",8
1999-04-01,"ESPÍRITO SANTO",2
1999-05-01,"ESPÍRITO SANTO",16
1999-06-01,"ESPÍRITO SANTO",6
1999-07-01,"ESPÍRITO SANTO",9
1999-08-01,"ESPÍRITO SANTO",60
1999-09-01,"ESPÍRITO SANTO",64
1999-10-01,"ESPÍRITO SANTO",23
1999-11-01,"ESPÍRITO SANTO",9
1999-12-01,"ESPÍRITO SANTO",0
1999-01-01,"GOIÁS",14
1999-02-01,"GOIÁS",334
1999-03-01,"GOIÁS",1
1999-04-01,"GOIÁS",25
1999-05-01,"GOIÁS",99
1999-06-01,"GOIÁS",250
1999-07-01,"GOIÁS",311
1999-08-01,"GOIÁS",1198
1999-09-01,"GOIÁS",1898
1999-10-01,"GOIÁS",743
1999-11-01,"GOIÁS",110
1999-12-01,"GOIÁS",20
1999-01-01,"MARANHÃO",54
1999-02-01,"MARANHÃO",6
1999-03-01,"MARANHÃO",17
1999-04-01,"MARANHÃO",4
1999-05-01,"MARANHÃO",3
1999-06-01,"MARANHÃO",32
1999-07-01,"MARANHÃO",258
1999-08-01,"MARANHÃO",895
1999-09-01,"MARANHÃO",1739
1999-10-01,"MARANHÃO",3208
1999-11-01,"MARANHÃO",1494
1999-12-01,"MARANHÃO",1001
1999-01-01,"MATO GROSSO",239
1999-02-01,"MATO GROSSO",69
1999-03-01,"MATO GROSSO",100
1999-04-01,"MATO GROSSO",97
1999-05-01,"MATO GROSSO",206
1999-06-01,"MATO GROSSO",127
1999-07-01,"MATO GROSSO",1297
1999-08-01,"MATO GROSSO",4355
1999-09-01,"MATO GROSSO",2969
1999-10-01,"MATO GROSSO",2053
1999-11-01,"MATO GROSSO",1194
1999-12-01,"MATO GROSSO",306
1999-01-01,"MATO GROSSO DO SUL",39
1999-02-01,"MATO GROSSO DO SUL",28
1999-03-01,"MATO GROSSO DO SUL",18
1999-04-01,"MATO GROSSO DO SUL",76
1999-05-01,"MATO GROSSO DO SUL",731
1999-06-01,"MATO GROSSO DO SUL",2201
1999-07-01,"MATO GROSSO DO SUL",3926
1999-08-01,"MATO GROSSO DO SUL",18566
1999-09-01,"MATO GROSSO DO SUL",11729
1999-10-01,"MATO GROSSO DO SUL",6109
1999-11-01,"MATO GROSSO DO SUL",842
1999-12-01,"MATO GROSSO DO SUL",47
1999-01-01,"MINAS GERAIS",36
1999-02-01,"MINAS GERAIS",112
1999-03-01,"MINAS GERAIS",13
1999-04-01,"MINAS GERAIS",27
1999-05-01,"MINAS GERAIS",51
1999-06-01,"MINAS GERAIS",132
1999-07-01,"MINAS GERAIS",318
1999-08-01,"MINAS GERAIS",1190
1999-09-01,"MINAS GERAIS",2686
1999-10-01,"MINAS GERAIS",1363
1999-11-01,"MINAS GERAIS",271
1999-12-01,"MINAS GERAIS",32
1999-01-01,"PARANÁ",7
1999-02-01,"PARANÁ",22
1999-03-01,"PARANÁ",40
1999-04-01,"PARANÁ",39
1999-05-01,"PARANÁ",57
1999-06-01,"PARANÁ",31
1999-07-01,"PARANÁ",94
1999-08-01,"PARANÁ",938
1999-09-01,"PARANÁ",878
1999-10-01,"PARANÁ",452
1999-11-01,"PARANÁ",447
1999-12-01,"PARANÁ",254
1999-01-01,"PARAÍBA",26
1999-02-01,"PARAÍBA",2
1999-03-01,"PARAÍBA",1
1999-04-01,"PARAÍBA",3
1999-05-01,"PARAÍBA",0
1999-06-01,"PARAÍBA",1
1999-07-01,"PARAÍBA",1
1999-08-01,"PARAÍBA",4
1999-09-01,"PARAÍBA",14
1999-10-01,"PARAÍBA",48
1999-11-01,"PARAÍBA",38
1999-12-01,"PARAÍBA",40
1999-01-01,"PARÁ",87
1999-02-01,"PARÁ",285
1999-03-01,"PARÁ",7
1999-04-01,"PARÁ",6
1999-05-01,"PARÁ",4
1999-06-01,"PARÁ",37
1999-07-01,"PARÁ",982
1999-08-01,"PARÁ",6178
1999-09-01,"PARÁ",4419
1999-10-01,"PARÁ",5026
1999-11-01,"PARÁ",2682
1999-12-01,"PARÁ",766
1999-01-01,"PERNAMBUCO",102
1999-02-01,"PERNAMBUCO",13
1999-03-01,"PERNAMBUCO",27
1999-04-01,"PERNAMBUCO",2
1999-05-01,"PERNAMBUCO",6
1999-06-01,"PERNAMBUCO",7
1999-07-01,"PERNAMBUCO",2
1999-08-01,"PERNAMBUCO",3
1999-09-01,"PERNAMBUCO",64
1999-10-01,"PERNAMBUCO",180
1999-11-01,"PERNAMBUCO",41
1999-12-01,"PERNAMBUCO",16
1999-01-01,"PIAUÍ",21
1999-02-01,"PIAUÍ",22
1999-03-01,"PIAUÍ",4
1999-04-01,"PIAUÍ",10
1999-05-01,"PIAUÍ",8
1999-06-01,"PIAUÍ",47
1999-07-01,"PIAUÍ",123
1999-08-01,"PIAUÍ",499
1999-09-01,"PIAUÍ",872
1999-10-01,"PIAUÍ",1438
1999-11-01,"PIAUÍ",334
1999-12-01,"PIAUÍ",74
1999-01-01,"RIO DE JANEIRO",0
1999-02-01,"RIO DE JANEIRO",0
1999-03-01,"RIO DE JANEIRO",0
1999-04-01,"RIO DE JANEIRO",1
1999-05-01,"RIO DE JANEIRO",7
1999-06-01,"RIO DE JANEIRO",8
1999-07-01,"RIO DE JANEIRO",14
1999-08-01,"RIO DE JANEIRO",88
1999-09-01,"RIO DE JANEIRO",192
1999-10-01,"RIO DE JANEIRO",30
1999-11-01,"RIO DE JANEIRO",16
1999-12-01,"RIO DE JANEIRO",0
1999-01-01,"RIO GRANDE DO NORTE",32
1999-02-01,"RIO GRANDE DO NORTE",11
1999-03-01,"RIO GRANDE DO NORTE",9
1999-04-01,"RIO GRANDE DO NORTE",21
1999-05-01,"RIO GRANDE DO NORTE",1
1999-06-01,"RIO GRANDE DO NORTE",4
1999-07-01,"RIO GRANDE DO NORTE",7
1999-08-01,"RIO GRANDE DO NORTE",40
1999-09-01,"RIO GRANDE DO NORTE",35
1999-10-01,"RIO GRANDE DO NORTE",40
1999-11-01,"RIO GRANDE DO NORTE",62
1999-12-01,"RIO GRANDE DO NORTE",29
1999-01-01,"RIO GRANDE DO SUL",63
1999-02-01,"RIO GRANDE DO SUL",35
1999-03-01,"RIO GRANDE DO SUL",38
1999-04-01,"RIO GRANDE DO SUL",12
1999-05-01,"RIO GRANDE DO SUL",13
1999-06-01,"RIO GRANDE DO SUL",9
1999-07-01,"RIO GRANDE DO SUL",10
1999-08-01,"RIO GRANDE DO SUL",24
1999-09-01,"RIO GRANDE DO SUL",19
1999-10-01,"RIO GRANDE DO SUL",56
1999-11-01,"RIO GRANDE DO SUL",103
1999-12-01,"RIO GRANDE DO SUL",1110
1999-01-01,"RONDÔNIA",1
1999-02-01,"RONDÔNIA",1
1999-03-01,"RONDÔNIA",8
1999-04-01,"RONDÔNIA",3
1999-05-01,"RONDÔNIA",3
1999-06-01,"RONDÔNIA",10
1999-07-01,"RONDÔNIA",135
1999-08-01,"RONDÔNIA",1976
1999-09-01,"RONDÔNIA",3062
1999-10-01,"RONDÔNIA",1884
1999-11-01,"RONDÔNIA",41
1999-12-01,"RONDÔNIA",0
1999-01-01,"RORAIMA",15
1999-02-01,"RORAIMA",20
1999-03-01,"RORAIMA",98
1999-04-01,"RORAIMA",16
1999-05-01,"RORAIMA",0
1999-06-01,"RORAIMA",3
1999-07-01,"RORAIMA",4
1999-08-01,"RORAIMA",1
1999-09-01,"RORAIMA",3
1999-10-01,"RORAIMA",10
1999-11-01,"RORAIMA",15
1999-12-01,"RORAIMA",35
1999-01-01,"SANTA CATARINA",11
1999-02-01,"SANTA CATARINA",2
1999-03-01,"SANTA CATARINA",7
1999-04-01,"SANTA CATARINA",0
1999-05-01,"SANTA CATARINA",1
1999-06-01,"SANTA CATARINA",0
1999-07-01,"SANTA CATARINA",2
1999-08-01,"SANTA CATARINA",51
1999-09-01,"SANTA CATARINA",101
1999-10-01,"SANTA CATARINA",16
1999-11-01,"SANTA CATARINA",84
1999-12-01,"SANTA CATARINA",89
1999-01-01,"SERGIPE",36
1999-02-01,"SERGIPE",25
1999-03-01,"SERGIPE",18
1999-04-01,"SERGIPE",6
1999-05-01,"SERGIPE",0
1999-06-01,"SERGIPE",0
1999-07-01,"SERGIPE",0
1999-08-01,"SERGIPE",0
1999-09-01,"SERGIPE",0
1999-10-01,"SERGIPE",0
1999-11-01,"SERGIPE",3
1999-12-01,"SERGIPE",5
1999-01-01,"SÃO PAULO",7
1999-02-01,"SÃO PAULO",47
1999-03-01,"SÃO PAULO",78
1999-04-01,"SÃO PAULO",291
1999-05-01,"SÃO PAULO",500
1999-06-01,"SÃO PAULO",522
1999-07-01,"SÃO PAULO",684
1999-08-01,"SÃO PAULO",1211
1999-09-01,"SÃO PAULO",911
1999-10-01,"SÃO PAULO",763
1999-11-01,"SÃO PAULO",398
1999-12-01,"SÃO PAULO",47
1999-01-01,"TOCANTINS",36
1999-02-01,"TOCANTINS",1
1999-03-01,"TOCANTINS",1
1999-04-01,"TOCANTINS",9
1999-05-01,"TOCANTINS",24
1999-06-01,"TOCANTINS",113
1999-07-01,"TOCANTINS",373
1999-08-01,"TOCANTINS",1284
1999-09-01,"TOCANTINS",3415
1999-10-01,"TOCANTINS",1378
1999-11-01,"TOCANTINS",29
1999-12-01,"TOCANTINS",16
2000-01-01,"ACRE",0
2000-02-01,"ACRE",0
2000-03-01,"ACRE",11
2000-04-01,"ACRE",1
2000-05-01,"ACRE",1
2000-06-01,"ACRE",1
2000-07-01,"ACRE",1
2000-08-01,"ACRE",136
2000-09-01,"ACRE",265
2000-10-01,"ACRE",18
2000-11-01,"ACRE",0
2000-12-01,"ACRE",0
2000-01-01,"ALAGOAS",11
2000-02-01,"ALAGOAS",16
2000-03-01,"ALAGOAS",32
2000-04-01,"ALAGOAS",20
2000-05-01,"ALAGOAS",1
2000-06-01,"ALAGOAS",0
2000-07-01,"ALAGOAS",0
2000-08-01,"ALAGOAS",4
2000-09-01,"ALAGOAS",22
2000-10-01,"ALAGOAS",13
2000-11-01,"ALAGOAS",2
2000-12-01,"ALAGOAS",2
2000-01-01,"AMAPÁ",2
2000-02-01,"AMAPÁ",0
2000-03-01,"AMAPÁ",0
2000-04-01,"AMAPÁ",0
2000-05-01,"AMAPÁ",0
2000-06-01,"AMAPÁ",0
2000-07-01,"AMAPÁ",0
2000-08-01,"AMAPÁ",3
2000-09-01,"AMAPÁ",19
2000-10-01,"AMAPÁ",42
2000-11-01,"AMAPÁ",157
2000-12-01,"AMAPÁ",30
2000-01-01,"AMAZONAS",7
2000-02-01,"AMAZONAS",62
2000-03-01,"AMAZONAS",69
2000-04-01,"AMAZONAS",18
2000-05-01,"AMAZONAS",51
2000-06-01,"AMAZONAS",6
2000-07-01,"AMAZONAS",39
2000-08-01,"AMAZONAS",180
2000-09-01,"AMAZONAS",189
2000-10-01,"AMAZONAS",145
2000-11-01,"AMAZONAS",27
2000-12-01,"AMAZONAS",60
2000-01-01,"BAHIA",31
2000-02-01,"BAHIA",32
2000-03-01,"BAHIA",65
2000-04-01,"BAHIA",23
2000-05-01,"BAHIA",71
2000-06-01,"BAHIA",178
2000-07-01,"BAHIA",202
2000-08-01,"BAHIA",633
2000-09-01,"BAHIA",2285
2000-10-01,"BAHIA",3350
2000-11-01,"BAHIA",114
2000-12-01,"BAHIA",24
2000-01-01,"CEARÁ",1
2000-02-01,"CEARÁ",6
2000-03-01,"CEARÁ",9
2000-04-01,"CEARÁ",15
2000-05-01,"CEARÁ",7
2000-06-01,"CEARÁ",16
2000-07-01,"CEARÁ",18
2000-08-01,"CEARÁ",79
2000-09-01,"CEARÁ",127
2000-10-01,"CEARÁ",875
2000-11-01,"CEARÁ",669
2000-12-01,"CEARÁ",389
2000-01-01,"DISTRITO FEDERAL",0
2000-02-01,"DISTRITO FEDERAL",0
2000-03-01,"DISTRITO FEDERAL",0
2000-04-01,"DISTRITO FEDERAL",0
2000-05-01,"DISTRITO FEDERAL",2
2000-06-01,"DISTRITO FEDERAL",1
2000-07-01,"DISTRITO FEDERAL",15
2000-08-01,"DISTRITO FEDERAL",9
2000-09-01,"DISTRITO FEDERAL",3
2000-10-01,"DISTRITO FEDERAL",18
2000-11-01,"DISTRITO FEDERAL",0
2000-12-01,"DISTRITO FEDERAL",0
2000-01-01,"ESPÍRITO SANTO",5
