number,date,state
2,2007-03-01,"Acre"
0,2007-04-01,"Acre"
1,2007-05-01,"Acre"
4,2007-06-01,"Acre"
29,2007-07-01,"Acre"
960,2007-08-01,"Acre"
2080,2007-09-01,"Acre"
203,2007-10-01,"Acre"
7,2007-11-01,"Acre"
0,2007-12-01,"Acre"
0,2008-01-01,"Acre"
0,2008-02-01,"Acre"
0,2008-03-01,"Acre"
0,2008-04-01,"Acre"
0,2008-05-01,"Acre"
0,2008-06-01,"Acre"
41,2008-07-01,"Acre"
445,2008-08-01,"Acre"
1666,2008-09-01,"Acre"
652,2008-10-01,"Acre"
4,2008-11-01,"Acre"
0,2008-12-01,"Acre"
0,2009-01-01,"Acre"
2,2009-02-01,"Acre"
1,2009-03-01,"Acre"
0,2009-04-01,"Acre"
3,2009-05-01,"Acre"
0,2009-06-01,"Acre"
31,2009-07-01,"Acre"
194,2009-08-01,"Acre"
1265,2009-09-01,"Acre"
565,2009-10-01,"Acre"
33,2009-11-01,"Acre"
1,2009-12-01,"Acre"
1,2010-01-01,"Acre"
0,2010-02-01,"Acre"
0,2010-03-01,"Acre"
3,2010-04-01,"Acre"
9,2010-05-01,"Acre"
1,2010-06-01,"Acre"
126,2010-07-01,"Acre"
1682,2010-08-01,"Acre"
2531,2010-09-01,"Acre"
292,2010-10-01,"Acre"
39,2010-11-01,"Acre"
0,2010-12-01,"Acre"
0,2011-01-01,"Acre"
0,2011-02-01,"Acre"
0,2011-03-01,"Acre"
2,2011-04-01,"Acre"
3,2011-05-01,"Acre"
10,2011-06-01,"Acre"
93,2011-07-01,"Acre"
425,2011-08-01,"Acre"
1204,2011-09-01,"Acre"
97,2011-10-01,"Acre"
74,2011-11-01,"Acre"
4,2011-12-01,"Acre"
0,2012-01-01,"Acre"
0,2012-02-01,"Acre"
1,2012-03-01,"Acre"
1,2012-04-01,"Acre"
3,2012-05-01,"Acre"
7,2012-06-01,"Acre"
71,2012-07-01,"Acre"
739,2012-08-01,"Acre"
1996,2012-09-01,"Acre"
348,2012-10-01,"Acre"
13,2012-11-01,"Acre"
1,2012-12-01,"Acre"
0,2013-01-01,"Acre"
0,2013-02-01,"Acre"
2,2013-03-01,"Acre"
19,2013-04-01,"Acre"
4,2013-05-01,"Acre"
8,2013-06-01,"Acre"
54,2013-07-01,"Acre"
679,2013-08-01,"Acre"
2136,2013-09-01,"Acre"
258,2013-10-01,"Acre"
79,2013-11-01,"Acre"
3,2013-12-01,"Acre"
0,2014-01-01,"Acre"
0,2014-02-01,"Acre"
1,2014-03-01,"Acre"
7,2014-04-01,"Acre"
1,2014-05-01,"Acre"
17,2014-06-01,"Acre"
60,2014-07-01,"Acre"
1100,2014-08-01,"Acre"
2175,2014-09-01,"Acre"
406,2014-10-01,"Acre"
56,2014-11-01,"Acre"
6,2014-12-01,"Acre"
1,2015-01-01,"Acre"
2,2015-02-01,"Acre"
2,2015-03-01,"Acre"
3,2015-04-01,"Acre"
2,2015-05-01,"Acre"
40,2015-06-01,"Acre"
109,2015-07-01,"Acre"
1397,2015-08-01,"Acre"
2928,2015-09-01,"Acre"
905,2015-10-01,"Acre"
115,2015-11-01,"Acre"
8,2015-12-01,"Acre"
12,2016-01-01,"Acre"
5,2016-02-01,"Acre"
0,2016-03-01,"Acre"
0,2016-04-01,"Acre"
21,2016-05-01,"Acre"
87,2016-06-01,"Acre"
533,2016-07-01,"Acre"
2188,2016-08-01,"Acre"
3586,2016-09-01,"Acre"
509,2016-10-01,"Acre"
46,2016-11-01,"Acre"
6,2016-12-01,"Acre"
0,2017-01-01,"Acre"
1,2017-02-01,"Acre"
0,2017-03-01,"Acre"
1,2017-04-01,"Acre"
10,2017-05-01,"Acre"
45,2017-06-01,"Acre"
457,2017-07-01,"Acre"
1493,2017-08-01,"Acre"
3429,2017-09-01,"Acre"
1508,2017-10-01,"Acre"
98,2017-11-01,"Acre"
0,1998-01-01,"Alagoas"
0,1998-02-01,"Alagoas"
0,1998-03-01,"Alagoas"
0,1998-04-01,"Alagoas"
0,1998-05-01,"Alagoas"
0,1998-06-01,"Alagoas"
0,1998-07-01,"Alagoas"
1,1998-08-01,"Alagoas"
14,1998-09-01,"Alagoas"
20,1998-10-01,"Alagoas"
19,1998-11-01,"Alagoas"
32,1998-12-01,"Alagoas"
58,1999-01-01,"Alagoas"
20,1999-02-01,"Alagoas"
52,1999-03-01,"Alagoas"
4,1999-04-01,"Alagoas"
1,1999-05-01,"Alagoas"
0,1999-06-01,"Alagoas"
0,1999-07-01,"Alagoas"
3,1999-08-01,"Alagoas"
3,1999-09-01,"Alagoas"
4,1999-10-01,"Alagoas"
15,1999-11-01,"Alagoas"
12,1999-12-01,"Alagoas"
11,2000-01-01,"Alagoas"
16,2000-02-01,"Alagoas"
32,2000-03-01,"Alagoas"
20,2000-04-01,"Alagoas"
1,2000-05-01,"Alagoas"
0,2000-06-01,"Alagoas"
0,2000-07-01,"Alagoas"
4,2000-08-01,"Alagoas"
22,2000-09-01,"Alagoas"
13,2000-10-01,"Alagoas"
2,2000-11-01,"Alagoas"
2,2000-12-01,"Alagoas"
5,2001-01-01,"Alagoas"
4,2001-02-01,"Alagoas"
0,2001-03-01,"Alagoas"
0,2001-04-01,"Alagoas"
2,2001-05-01,"Alagoas"
2,2001-06-01,"Alagoas"
0,2001-07-01,"Alagoas"
1,2001-08-01,"Alagoas"
5,2001-09-01,"Alagoas"
15,2001-10-01,"Alagoas"
22,2001-11-01,"Alagoas"
30,2001-12-01,"Alagoas"
12,2002-01-01,"Alagoas"
15,2002-02-01,"Alagoas"
27,2002-03-01,"Alagoas"
6,2002-04-01,"Alagoas"
1,2002-05-01,"Alagoas"
0,2002-06-01,"Alagoas"
5,2002-07-01,"Alagoas"
3,2002-08-01,"Alagoas"
14,2002-09-01,"Alagoas"
30,2002-10-01,"Alagoas"
50,2002-11-01,"Alagoas"
95,2002-12-01,"Alagoas"
150,2003-01-01,"Alagoas"
33,2003-02-01,"Alagoas"
15,2003-03-01,"Alagoas"
20,2003-04-01,"Alagoas"
1,2003-05-01,"Alagoas"
0,2003-06-01,"Alagoas"
0,2003-07-01,"Alagoas"
2,2003-08-01,"Alagoas"
8,2003-09-01,"Alagoas"
10,2003-10-01,"Alagoas"
17,2003-11-01,"Alagoas"
43,2003-12-01,"Alagoas"
9,2004-01-01,"Alagoas"
7,2004-02-01,"Alagoas"
16,2004-03-01,"Alagoas"
6,2004-04-01,"Alagoas"
3,2004-05-01,"Alagoas"
0,2004-06-01,"Alagoas"
0,2004-07-01,"Alagoas"
2,2004-08-01,"Alagoas"
5,2004-09-01,"Alagoas"
12,2004-10-01,"Alagoas"
28,2004-11-01,"Alagoas"
71,2004-12-01,"Alagoas"
83,2005-01-01,"Alagoas"
31,2005-02-01,"Alagoas"
35,2005-03-01,"Alagoas"
1,2005-04-01,"Alagoas"
0,2005-05-01,"Alagoas"
0,2005-06-01,"Alagoas"
0,2005-07-01,"Alagoas"
2,2005-08-01,"Alagoas"
7,2005-09-01,"Alagoas"
17,2005-10-01,"Alagoas"
25,2005-11-01,"Alagoas"
16,2005-12-01,"Alagoas"
29,2006-01-01,"Alagoas"
14,2006-02-01,"Alagoas"
37,2006-03-01,"Alagoas"
2,2006-04-01,"Alagoas"
0,2006-05-01,"Alagoas"
0,2006-06-01,"Alagoas"
0,2006-07-01,"Alagoas"
1,2006-08-01,"Alagoas"
4,2006-09-01,"Alagoas"
32,2006-10-01,"Alagoas"
12,2006-11-01,"Alagoas"
30,2006-12-01,"Alagoas"
33,2007-01-01,"Alagoas"
28,2007-02-01,"Alagoas"
7,2007-03-01,"Alagoas"
1,2007-04-01,"Alagoas"
0,2007-05-01,"Alagoas"
0,2007-06-01,"Alagoas"
0,2007-07-01,"Alagoas"
3,2007-08-01,"Alagoas"
2,2007-09-01,"Alagoas"
6,2007-10-01,"Alagoas"
15,2007-11-01,"Alagoas"
33,2007-12-01,"Alagoas"
55,2008-01-01,"Alagoas"
74,2008-02-01,"Alagoas"
31,2008-03-01,"Alagoas"
18,2008-04-01,"Alagoas"
0,2008-05-01,"Alagoas"
0,2008-06-01,"Alagoas"
0,2008-07-01,"Alagoas"
1,2008-08-01,"Alagoas"
9,2008-09-01,"Alagoas"
18,2008-10-01,"Alagoas"
37,2008-11-01,"Alagoas"
34,2008-12-01,"Alagoas"
104,2009-01-01,"Alagoas"
32,2009-02-01,"Alagoas"
31,2009-03-01,"Alagoas"
5,2009-04-01,"Alagoas"
0,2009-05-01,"Alagoas"
0,2009-06-01,"Alagoas"
0,2009-07-01,"Alagoas"
0,2009-08-01,"Alagoas"
13,2009-09-01,"Alagoas"
30,2009-10-01,"Alagoas"
55,2009-11-01,"Alagoas"
55,2009-12-01,"Alagoas"
23,2010-01-01,"Alagoas"
26,2010-02-01,"Alagoas"
70,2010-03-01,"Alagoas"
3,2010-04-01,"Alagoas"
0,2010-05-01,"Alagoas"
0,2010-06-01,"Alagoas"
2,2010-07-01,"Alagoas"
1,2010-08-01,"Alagoas"
5,2010-09-01,"Alagoas"
16,2010-10-01,"Alagoas"
31,2010-11-01,"Alagoas"
45,2010-12-01,"Alagoas"
41,2011-01-01,"Alagoas"
33,2011-02-01,"Alagoas"
34,2011-03-01,"Alagoas"
17,2011-04-01,"Alagoas"
0,2011-05-01,"Alagoas"
2,2011-06-01,"Alagoas"
0,2011-07-01,"Alagoas"
4,2011-08-01,"Alagoas"
5,2011-09-01,"Alagoas"
23,2011-10-01,"Alagoas"
23,2011-11-01,"Alagoas"
50,2011-12-01,"Alagoas"
36,2012-01-01,"Alagoas"
41,2012-02-01,"Alagoas"
44,2012-03-01,"Alagoas"
18,2012-04-01,"Alagoas"
21,2012-05-01,"Alagoas"
4,2012-06-01,"Alagoas"
0,2012-07-01,"Alagoas"
0,2012-08-01,"Alagoas"
6,2012-09-01,"Alagoas"
28,2012-10-01,"Alagoas"
95,2012-11-01,"Alagoas"
59,2012-12-01,"Alagoas"
49,2013-01-01,"Alagoas"
19,2013-02-01,"Alagoas"
31,2013-03-01,"Alagoas"
25,2013-04-01,"Alagoas"
2,2013-05-01,"Alagoas"
1,2013-06-01,"Alagoas"
0,2013-07-01,"Alagoas"
0,2013-08-01,"Alagoas"
4,2013-09-01,"Alagoas"
25,2013-10-01,"Alagoas"
10,2013-11-01,"Alagoas"
42,2013-12-01,"Alagoas"
54,2014-01-01,"Alagoas"
29,2014-02-01,"Alagoas"
28,2014-03-01,"Alagoas"
16,2014-04-01,"Alagoas"
1,2014-05-01,"Alagoas"
2,2014-06-01,"Alagoas"
1,2014-07-01,"Alagoas"
3,2014-08-01,"Alagoas"
11,2014-09-01,"Alagoas"
7,2014-10-01,"Alagoas"
14,2014-11-01,"Alagoas"
24,2014-12-01,"Alagoas"
81,2015-01-01,"Alagoas"
46,2015-02-01,"Alagoas"
32,2015-03-01,"Alagoas"
63,2015-04-01,"Alagoas"
18,2015-05-01,"Alagoas"
2,2015-06-01,"Alagoas"
0,2015-07-01,"Alagoas"
3,2015-08-01,"Alagoas"
7,2015-09-01,"Alagoas"
40,2015-10-01,"Alagoas"
162,2015-11-01,"Alagoas"
136,2015-12-01,"Alagoas"
24,2016-01-01,"Alagoas"
14,2016-02-01,"Alagoas"
9,2016-03-01,"Alagoas"
13,2016-04-01,"Alagoas"
4,2016-05-01,"Alagoas"
5,2016-06-01,"Alagoas"
3,2016-07-01,"Alagoas"
5,2016-08-01,"Alagoas"
18,2016-09-01,"Alagoas"
74,2016-10-01,"Alagoas"
76,2016-11-01,"Alagoas"
155,2016-12-01,"Alagoas"
38,2017-01-01,"Alagoas"
38,2017-01-01,"Alagoas"
21,2017-02-01,"Alagoas"
23,2017-03-01,"Alagoas"
7,2017-04-01,"Alagoas"
1,2017-05-01,"Alagoas"
2,2017-06-01,"Alagoas"
0,2017-07-01,"Alagoas"
1,2017-08-01,"Alagoas"
4,2017-09-01,"Alagoas"
14,2017-10-01,"Alagoas"
10,2017-11-01,"Alagoas"
0,1998-01-01,"Amapa"
0,1998-02-01,"Amapa"
0,1998-03-01,"Amapa"
0,1998-04-01,"Amapa"
0,1998-05-01,"Amapa"
0,1998-06-01,"Amapa"
0,1998-07-01,"Amapa"
1,1998-08-01,"Amapa"
20,1998-09-01,"Amapa"
42,1998-10-01,"Amapa"
131,1998-11-01,"Amapa"
84,1998-12-01,"Amapa"
0,1999-01-01,"Amapa"
1,1999-02-01,"Amapa"
2,1999-03-01,"Amapa"
0,1999-04-01,"Amapa"
0,1999-05-01,"Amapa"
2,1999-06-01,"Amapa"
0,1999-07-01,"Amapa"
0,1999-08-01,"Amapa"
4,1999-09-01,"Amapa"
25,1999-10-01,"Amapa"
26,1999-11-01,"Amapa"
41,1999-12-01,"Amapa"
2,2000-01-01,"Amapa"
0,2000-02-01,"Amapa"
0,2000-03-01,"Amapa"
0,2000-04-01,"Amapa"
0,2000-05-01,"Amapa"
0,2000-06-01,"Amapa"
0,2000-07-01,"Amapa"
3,2000-08-01,"Amapa"
19,2000-09-01,"Amapa"
42,2000-10-01,"Amapa"
157,2000-11-01,"Amapa"
30,2000-12-01,"Amapa"
0,2001-01-01,"Amapa"
0,2001-02-01,"Amapa"
0,2001-03-01,"Amapa"
0,2001-04-01,"Amapa"
0,2001-05-01,"Amapa"
0,2001-06-01,"Amapa"
1,2001-07-01,"Amapa"
12,2001-08-01,"Amapa"
95,2001-09-01,"Amapa"
194,2001-10-01,"Amapa"
406,2001-11-01,"Amapa"
593,2001-12-01,"Amapa"
7,2002-01-01,"Amapa"
2,2002-02-01,"Amapa"
0,2002-03-01,"Amapa"
0,2002-04-01,"Amapa"
3,2002-05-01,"Amapa"
0,2002-06-01,"Amapa"
1,2002-07-01,"Amapa"
18,2002-08-01,"Amapa"
73,2002-09-01,"Amapa"
557,2002-10-01,"Amapa"
1096,2002-11-01,"Amapa"
200,2002-12-01,"Amapa"
31,2003-01-01,"Amapa"
0,2003-02-01,"Amapa"
1,2003-03-01,"Amapa"
2,2003-04-01,"Amapa"
0,2003-05-01,"Amapa"
0,2003-06-01,"Amapa"
0,2003-07-01,"Amapa"
14,2003-08-01,"Amapa"
88,2003-09-01,"Amapa"
355,2003-10-01,"Amapa"
750,2003-11-01,"Amapa"
411,2003-12-01,"Amapa"
38,2004-01-01,"Amapa"
2,2004-02-01,"Amapa"
0,2004-03-01,"Amapa"
0,2004-04-01,"Amapa"
0,2004-05-01,"Amapa"
5,2004-06-01,"Amapa"
2,2004-07-01,"Amapa"
9,2004-08-01,"Amapa"
67,2004-09-01,"Amapa"
412,2004-10-01,"Amapa"
949,2004-11-01,"Amapa"
777,2004-12-01,"Amapa"
109,2005-01-01,"Amapa"
1,2005-02-01,"Amapa"
0,2005-03-01,"Amapa"
0,2005-04-01,"Amapa"
0,2005-05-01,"Amapa"
2,2005-06-01,"Amapa"
0,2005-07-01,"Amapa"
4,2005-08-01,"Amapa"
97,2005-09-01,"Amapa"
335,2005-10-01,"Amapa"
685,2005-11-01,"Amapa"
38,2005-12-01,"Amapa"
6,2006-01-01,"Amapa"
2,2006-02-01,"Amapa"
0,2006-03-01,"Amapa"
0,2006-04-01,"Amapa"
0,2006-05-01,"Amapa"
0,2006-06-01,"Amapa"
0,2006-07-01,"Amapa"
11,2006-08-01,"Amapa"
112,2006-09-01,"Amapa"
405,2006-10-01,"Amapa"
207,2006-11-01,"Amapa"
74,2006-12-01,"Amapa"
0,2007-01-01,"Amapa"
0,2007-02-01,"Amapa"
0,2007-03-01,"Amapa"
0,2007-04-01,"Amapa"
0,2007-05-01,"Amapa"
0,2007-06-01,"Amapa"
0,2007-07-01,"Amapa"
5,2007-08-01,"Amapa"
61,2007-09-01,"Amapa"
162,2007-10-01,"Amapa"
198,2007-11-01,"Amapa"
14,2007-12-01,"Amapa"
2,2008-01-01,"Amapa"
0,2008-02-01,"Amapa"
1,2008-03-01,"Amapa"
2,2008-04-01,"Amapa"
0,2008-05-01,"Amapa"
0,2008-06-01,"Amapa"
0,2008-07-01,"Amapa"
4,2008-08-01,"Amapa"
83,2008-09-01,"Amapa"
395,2008-10-01,"Amapa"
266,2008-11-01,"Amapa"
32,2008-12-01,"Amapa"
4,2009-01-01,"Amapa"
0,2009-02-01,"Amapa"
1,2009-03-01,"Amapa"
0,2009-04-01,"Amapa"
2,2009-05-01,"Amapa"
1,2009-06-01,"Amapa"
4,2009-07-01,"Amapa"
20,2009-08-01,"Amapa"
188,2009-09-01,"Amapa"
765,2009-10-01,"Amapa"
1019,2009-11-01,"Amapa"
123,2009-12-01,"Amapa"
2,2010-01-01,"Amapa"
0,2010-02-01,"Amapa"
2,2010-03-01,"Amapa"
2,2010-04-01,"Amapa"
2,2010-05-01,"Amapa"
0,2010-06-01,"Amapa"
2,2010-07-01,"Amapa"
1,2010-08-01,"Amapa"
63,2010-09-01,"Amapa"
265,2010-10-01,"Amapa"
339,2010-11-01,"Amapa"
43,2010-12-01,"Amapa"
0,2011-01-01,"Amapa"
3,2011-02-01,"Amapa"
0,2011-03-01,"Amapa"
0,2011-04-01,"Amapa"
2,2011-05-01,"Amapa"
0,2011-06-01,"Amapa"
5,2011-07-01,"Amapa"
16,2011-08-01,"Amapa"
128,2011-09-01,"Amapa"
304,2011-10-01,"Amapa"
282,2011-11-01,"Amapa"
360,2011-12-01,"Amapa"
30,2012-01-01,"Amapa"
5,2012-02-01,"Amapa"
1,2012-03-01,"Amapa"
2,2012-04-01,"Amapa"
2,2012-05-01,"Amapa"
7,2012-06-01,"Amapa"
3,2012-07-01,"Amapa"
19,2012-08-01,"Amapa"
168,2012-09-01,"Amapa"
475,2012-10-01,"Amapa"
969,2012-11-01,"Amapa"
422,2012-12-01,"Amapa"
3,2013-01-01,"Amapa"
0,2013-02-01,"Amapa"
0,2013-03-01,"Amapa"
2,2013-04-01,"Amapa"
0,2013-05-01,"Amapa"
1,2013-06-01,"Amapa"
1,2013-07-01,"Amapa"
9,2013-08-01,"Amapa"
85,2013-09-01,"Amapa"
385,2013-10-01,"Amapa"
341,2013-11-01,"Amapa"
148,2013-12-01,"Amapa"
10,2014-01-01,"Amapa"
2,2014-02-01,"Amapa"
1,2014-03-01,"Amapa"
0,2014-04-01,"Amapa"
0,2014-05-01,"Amapa"
0,2014-06-01,"Amapa"
4,2014-07-01,"Amapa"
18,2014-08-01,"Amapa"
137,2014-09-01,"Amapa"
480,2014-10-01,"Amapa"
484,2014-11-01,"Amapa"
354,2014-12-01,"Amapa"
14,2015-01-01,"Amapa"
1,2015-02-01,"Amapa"
2,2015-03-01,"Amapa"
0,2015-04-01,"Amapa"
0,2015-05-01,"Amapa"
3,2015-06-01,"Amapa"
5,2015-07-01,"Amapa"
40,2015-08-01,"Amapa"
192,2015-09-01,"Amapa"
827,2015-10-01,"Amapa"
1300,2015-11-01,"Amapa"
269,2015-12-01,"Amapa"
19,2016-01-01,"Amapa"
1,2016-02-01,"Amapa"
5,2016-03-01,"Amapa"
0,2016-04-01,"Amapa"
1,2016-05-01,"Amapa"
2,2016-06-01,"Amapa"
1,2016-07-01,"Amapa"
37,2016-08-01,"Amapa"
142,2016-09-01,"Amapa"
793,2016-10-01,"Amapa"
1161,2016-11-01,"Amapa"
491,2016-12-01,"Amapa"
2,2017-01-01,"Amapa"
0,2017-02-01,"Amapa"
0,2017-03-01,"Amapa"
3,2017-04-01,"Amapa"
1,2017-05-01,"Amapa"
2,2017-06-01,"Amapa"
3,2017-07-01,"Amapa"
33,2017-08-01,"Amapa"
95,2017-09-01,"Amapa"
468,2017-10-01,"Amapa"
858,2017-11-01,"Amapa"
0,1998-01-01,"Amazonas"
0,1998-02-01,"Amazonas"
0,1998-03-01,"Amazonas"
0,1998-04-01,"Amazonas"
0,1998-05-01,"Amazonas"
2,1998-06-01,"Amazonas"
71,1998-07-01,"Amazonas"
321,1998-08-01,"Amazonas"
267,1998-09-01,"Amazonas"
83,1998-10-01,"Amazonas"
6,1998-11-01,"Amazonas"
196,1998-12-01,"Amazonas"
3,1999-01-01,"Amazonas"
43,1999-02-01,"Amazonas"
7,1999-03-01,"Amazonas"
2,1999-04-01,"Amazonas"
0,1999-05-01,"Amazonas"
7,1999-06-01,"Amazonas"
11,1999-07-01,"Amazonas"
259,1999-08-01,"Amazonas"
216,1999-09-01,"Amazonas"
479,1999-10-01,"Amazonas"
32,1999-11-01,"Amazonas"
2,1999-12-01,"Amazonas"
7,2000-01-01,"Amazonas"
62,2000-02-01,"Amazonas"
69,2000-03-01,"Amazonas"
18,2000-04-01,"Amazonas"
51,2000-05-01,"Amazonas"
6,2000-06-01,"Amazonas"
39,2000-07-01,"Amazonas"
180,2000-08-01,"Amazonas"
189,2000-09-01,"Amazonas"
145,2000-10-01,"Amazonas"
27,2000-11-01,"Amazonas"
60,2000-12-01,"Amazonas"
3,2001-01-01,"Amazonas"
8,2001-02-01,"Amazonas"
6,2001-03-01,"Amazonas"
1,2001-04-01,"Amazonas"
0,2001-05-01,"Amazonas"
5,2001-06-01,"Amazonas"
9,2001-07-01,"Amazonas"
501,2001-08-01,"Amazonas"
166,2001-09-01,"Amazonas"
332,2001-10-01,"Amazonas"
244,2001-11-01,"Amazonas"
22,2001-12-01,"Amazonas"
17,2002-01-01,"Amazonas"
2,2002-02-01,"Amazonas"
5,2002-03-01,"Amazonas"
2,2002-04-01,"Amazonas"
8,2002-05-01,"Amazonas"
5,2002-06-01,"Amazonas"
146,2002-07-01,"Amazonas"
741,2002-08-01,"Amazonas"
928,2002-09-01,"Amazonas"
695,2002-10-01,"Amazonas"
259,2002-11-01,"Amazonas"
44,2002-12-01,"Amazonas"
158,2003-01-01,"Amazonas"
62,2003-02-01,"Amazonas"
64,2003-03-01,"Amazonas"
11,2003-04-01,"Amazonas"
2,2003-05-01,"Amazonas"
3,2003-06-01,"Amazonas"
180,2003-07-01,"Amazonas"
1867,2003-08-01,"Amazonas"
1401,2003-09-01,"Amazonas"
725,2003-10-01,"Amazonas"
169,2003-11-01,"Amazonas"
147,2003-12-01,"Amazonas"
123,2004-01-01,"Amazonas"
92,2004-02-01,"Amazonas"
6,2004-03-01,"Amazonas"
4,2004-04-01,"Amazonas"
0,2004-05-01,"Amazonas"
12,2004-06-01,"Amazonas"
177,2004-07-01,"Amazonas"
1207,2004-08-01,"Amazonas"
911,2004-09-01,"Amazonas"
710,2004-10-01,"Amazonas"
209,2004-11-01,"Amazonas"
53,2004-12-01,"Amazonas"
44,2005-01-01,"Amazonas"
6,2005-02-01,"Amazonas"
12,2005-03-01,"Amazonas"
5,2005-04-01,"Amazonas"
8,2005-05-01,"Amazonas"
78,2005-06-01,"Amazonas"
676,2005-07-01,"Amazonas"
2316,2005-08-01,"Amazonas"
2812,2005-09-01,"Amazonas"
545,2005-10-01,"Amazonas"
261,2005-11-01,"Amazonas"
17,2005-12-01,"Amazonas"
20,2006-01-01,"Amazonas"
10,2006-02-01,"Amazonas"
20,2006-03-01,"Amazonas"
5,2006-04-01,"Amazonas"
4,2006-05-01,"Amazonas"
9,2006-06-01,"Amazonas"
123,2006-07-01,"Amazonas"
1422,2006-08-01,"Amazonas"
2218,2006-09-01,"Amazonas"
721,2006-10-01,"Amazonas"
59,2006-11-01,"Amazonas"
23,2006-12-01,"Amazonas"
37,2007-01-01,"Amazonas"
92,2007-02-01,"Amazonas"
6,2007-03-01,"Amazonas"
0,2007-04-01,"Amazonas"
0,2007-05-01,"Amazonas"
23,2007-06-01,"Amazonas"
116,2007-07-01,"Amazonas"
2241,2007-08-01,"Amazonas"
1360,2007-09-01,"Amazonas"
215,2007-10-01,"Amazonas"
90,2007-11-01,"Amazonas"
7,2007-12-01,"Amazonas"
16,2008-01-01,"Amazonas"
32,2008-02-01,"Amazonas"
10,2008-03-01,"Amazonas"
13,2008-04-01,"Amazonas"
1,2008-05-01,"Amazonas"
7,2008-06-01,"Amazonas"
108,2008-07-01,"Amazonas"
861,2008-08-01,"Amazonas"
998,2008-09-01,"Amazonas"
632,2008-10-01,"Amazonas"
39,2008-11-01,"Amazonas"
0,2008-12-01,"Amazonas"
9,2009-01-01,"Amazonas"
3,2009-02-01,"Amazonas"
11,2009-03-01,"Amazonas"
1,2009-04-01,"Amazonas"
3,2009-05-01,"Amazonas"
13,2009-06-01,"Amazonas"
199,2009-07-01,"Amazonas"
1321,2009-08-01,"Amazonas"
3091,2009-09-01,"Amazonas"
2189,2009-10-01,"Amazonas"
973,2009-11-01,"Amazonas"
102,2009-12-01,"Amazonas"
