year,number,date,month,state
"2004",2,2004-01-01,"April","Acre"
"2005",1,2005-01-01,"April","Acre"
"2006",0,2006-01-01,"April","Acre"
"2007",0,2007-01-01,"April","Acre"
"2008",0,2008-01-01,"April","Acre"
"2009",0,2009-01-01,"April","Acre"
"2010",3,2010-01-01,"April","Acre"
"2011",2,2011-01-01,"April","Acre"
"2012",1,2012-01-01,"April","Acre"
"2013",19,2013-01-01,"April","Acre"
"2014",7,2014-01-01,"April","Acre"
"2015",3,2015-01-01,"April","Acre"
"2016",0,2016-01-01,"April","Acre"
"2017",1,2017-01-01,"April","Acre"
"1998",0,1998-01-01,"May","Acre"
"1999",0,1999-01-01,"May","Acre"
"2000",1,2000-01-01,"May","Acre"
"2001",0,2001-01-01,"May","Acre"
"2002",0,2002-01-01,"May","Acre"
"2003",6,2003-01-01,"May","Acre"
"2004",7,2004-01-01,"May","Acre"
"2005",2,2005-01-01,"May","Acre"
"2006",8,2006-01-01,"May","Acre"
"2007",1,2007-01-01,"May","Acre"
"2008",0,2008-01-01,"May","Acre"
"2009",3,2009-01-01,"May","Acre"
"2010",9,2010-01-01,"May","Acre"
"2011",3,2011-01-01,"May","Acre"
"2012",3,2012-01-01,"May","Acre"
"2013",4,2013-01-01,"May","Acre"
"2014",1,2014-01-01,"May","Acre"
"2015",2,2015-01-01,"May","Acre"
"2016",21,2016-01-01,"May","Acre"
"2017",10,2017-01-01,"May","Acre"
"1998",3,1998-01-01,"June","Acre"
"1999",0,1999-01-01,"June","Acre"
"2000",1,2000-01-01,"June","Acre"
"2001",1,2001-01-01,"June","Acre"
"2002",0,2002-01-01,"June","Acre"
"2003",0,2003-01-01,"June","Acre"
"2004",5,2004-01-01,"June","Acre"
"2005",27,2005-01-01,"June","Acre"
"2006",1,2006-01-01,"June","Acre"
"2007",4,2007-01-01,"June","Acre"
"2008",0,2008-01-01,"June","Acre"
"2009",0,2009-01-01,"June","Acre"
"2010",1,2010-01-01,"June","Acre"
"2011",10,2011-01-01,"June","Acre"
"2012",7,2012-01-01,"June","Acre"
"2013",8,2013-01-01,"June","Acre"
"2014",17,2014-01-01,"June","Acre"
"2015",40,2015-01-01,"June","Acre"
"2016",87,2016-01-01,"June","Acre"
"2017",45,2017-01-01,"June","Acre"
"1998",37,1998-01-01,"July","Acre"
"1999",1,1999-01-01,"July","Acre"
"2000",1,2000-01-01,"July","Acre"
"2001",3,2001-01-01,"July","Acre"
"2002",39,2002-01-01,"July","Acre"
"2003",168,2003-01-01,"July","Acre"
"2004",42,2004-01-01,"July","Acre"
"2005",368,2005-01-01,"July","Acre"
"2006",33,2006-01-01,"July","Acre"
"2007",29,2007-01-01,"July","Acre"
"2008",41,2008-01-01,"July","Acre"
"2009",31,2009-01-01,"July","Acre"
"2010",126,2010-01-01,"July","Acre"
"2011",93,2011-01-01,"July","Acre"
"2012",71,2012-01-01,"July","Acre"
"2013",54,2013-01-01,"July","Acre"
"2014",60,2014-01-01,"July","Acre"
"2015",109,2015-01-01,"July","Acre"
"2016",533,2016-01-01,"July","Acre"
"2017",457,2017-01-01,"July","Acre"
"1998",130,1998-01-01,"August","Acre"
"1999",63,1999-01-01,"August","Acre"
"2000",136,2000-01-01,"August","Acre"
"2001",396,2001-01-01,"August","Acre"
"2002",728,2002-01-01,"August","Acre"
"2003",1976,2003-01-01,"August","Acre"
"2004",645,2004-01-01,"August","Acre"
"2005",4198,2005-01-01,"August","Acre"
"2006",839,2006-01-01,"August","Acre"
"2007",960,2007-01-01,"August","Acre"
"2008",445,2008-01-01,"August","Acre"
"2009",194,2009-01-01,"August","Acre"
"2010",1682,2010-01-01,"August","Acre"
"2011",425,2011-01-01,"August","Acre"
"2012",739,2012-01-01,"August","Acre"
"2013",679,2013-01-01,"August","Acre"
"2014",1100,2014-01-01,"August","Acre"
"2015",1397,2015-01-01,"August","Acre"
"2016",2188,2016-01-01,"August","Acre"
"2017",1493,2017-01-01,"August","Acre"
"1998",509,1998-01-01,"September","Acre"
"1999",209,1999-01-01,"September","Acre"
"2000",265,2000-01-01,"September","Acre"
"2001",290,2001-01-01,"September","Acre"
"2002",1949,2002-01-01,"September","Acre"
"2003",3942,2003-01-01,"September","Acre"
"2004",1978,2004-01-01,"September","Acre"
"2005",4253,2005-01-01,"September","Acre"
"2006",2370,2006-01-01,"September","Acre"
"2007",2080,2007-01-01,"September","Acre"
"2008",1666,2008-01-01,"September","Acre"
"2009",1265,2009-01-01,"September","Acre"
"2010",2531,2010-01-01,"September","Acre"
"2011",1204,2011-01-01,"September","Acre"
"2012",1996,2012-01-01,"September","Acre"
"2013",2136,2013-01-01,"September","Acre"
"2014",2175,2014-01-01,"September","Acre"
"2015",2928,2015-01-01,"September","Acre"
"2016",3586,2016-01-01,"September","Acre"
"2017",3429,2017-01-01,"September","Acre"
"1998",44,1998-01-01,"October","Acre"
"1999",60,1999-01-01,"October","Acre"
"2000",18,2000-01-01,"October","Acre"
"2001",137,2001-01-01,"October","Acre"
"2002",687,2002-01-01,"October","Acre"
"2003",740,2003-01-01,"October","Acre"
"2004",461,2004-01-01,"October","Acre"
"2005",547,2005-01-01,"October","Acre"
"2006",316,2006-01-01,"October","Acre"
"2007",203,2007-01-01,"October","Acre"
"2008",652,2008-01-01,"October","Acre"
"2009",565,2009-01-01,"October","Acre"
"2010",292,2010-01-01,"October","Acre"
"2011",97,2011-01-01,"October","Acre"
"2012",348,2012-01-01,"October","Acre"
"2013",258,2013-01-01,"October","Acre"
"2014",406,2014-01-01,"October","Acre"
"2015",905,2015-01-01,"October","Acre"
"2016",509,2016-01-01,"October","Acre"
"2017",1508,2017-01-01,"October","Acre"
"1998",0,1998-01-01,"November","Acre"
"1999",0,1999-01-01,"November","Acre"
"2000",0,2000-01-01,"November","Acre"
"2001",1,2001-01-01,"November","Acre"
"2002",86,2002-01-01,"November","Acre"
"2003",15,2003-01-01,"November","Acre"
"2004",10,2004-01-01,"November","Acre"
"2005",14,2005-01-01,"November","Acre"
"2006",18,2006-01-01,"November","Acre"
"2007",7,2007-01-01,"November","Acre"
"2008",4,2008-01-01,"November","Acre"
"2009",33,2009-01-01,"November","Acre"
"2010",39,2010-01-01,"November","Acre"
"2011",74,2011-01-01,"November","Acre"
"2012",13,2012-01-01,"November","Acre"
"2013",79,2013-01-01,"November","Acre"
"2014",56,2014-01-01,"November","Acre"
"2015",115,2015-01-01,"November","Acre"
"2016",46,2016-01-01,"November","Acre"
"2017",98,2017-01-01,"November","Acre"
"1998",7,1998-01-01,"December","Acre"
"1999",0,1999-01-01,"December","Acre"
"2000",0,2000-01-01,"December","Acre"
"2001",0,2001-01-01,"December","Acre"
"2002",1,2002-01-01,"December","Acre"
"2003",1,2003-01-01,"December","Acre"
"2004",7,2004-01-01,"December","Acre"
"2005",2,2005-01-01,"December","Acre"
"2006",0,2006-01-01,"December","Acre"
"2007",0,2007-01-01,"December","Acre"
"2008",0,2008-01-01,"December","Acre"
"2009",1,2009-01-01,"December","Acre"
"2010",0,2010-01-01,"December","Acre"
"2011",4,2011-01-01,"December","Acre"
"2012",1,2012-01-01,"December","Acre"
"2013",3,2013-01-01,"December","Acre"
"2014",6,2014-01-01,"December","Acre"
"2015",8,2015-01-01,"December","Acre"
"2016",6,2016-01-01,"December","Acre"
"1998",0,1998-01-01,"January","Alagoas"
"1999",58,1999-01-01,"January","Alagoas"
"2000",11,2000-01-01,"January","Alagoas"
"2001",5,2001-01-01,"January","Alagoas"
"2002",12,2002-01-01,"January","Alagoas"
"2003",150,2003-01-01,"January","Alagoas"
"2004",9,2004-01-01,"January","Alagoas"
"2005",83,2005-01-01,"January","Alagoas"
"2006",29,2006-01-01,"January","Alagoas"
"2007",33,2007-01-01,"January","Alagoas"
"2008",55,2008-01-01,"January","Alagoas"
"2009",104,2009-01-01,"January","Alagoas"
"2010",23,2010-01-01,"January","Alagoas"
"2011",41,2011-01-01,"January","Alagoas"
"2012",36,2012-01-01,"January","Alagoas"
"2013",49,2013-01-01,"January","Alagoas"
"2014",54,2014-01-01,"January","Alagoas"
"2015",81,2015-01-01,"January","Alagoas"
"2016",24,2016-01-01,"January","Alagoas"
"2017",38,2017-01-01,"January","Alagoas"
"2017",38,2017-01-01,"January","Alagoas"
"1998",0,1998-01-01,"February","Alagoas"
"1999",20,1999-01-01,"February","Alagoas"
"2000",16,2000-01-01,"February","Alagoas"
"2001",4,2001-01-01,"February","Alagoas"
"2002",15,2002-01-01,"February","Alagoas"
"2003",33,2003-01-01,"February","Alagoas"
"2004",7,2004-01-01,"February","Alagoas"
"2005",31,2005-01-01,"February","Alagoas"
"2006",14,2006-01-01,"February","Alagoas"
"2007",28,2007-01-01,"February","Alagoas"
"2008",74,2008-01-01,"February","Alagoas"
"2009",32,2009-01-01,"February","Alagoas"
"2010",26,2010-01-01,"February","Alagoas"
"2011",33,2011-01-01,"February","Alagoas"
"2012",41,2012-01-01,"February","Alagoas"
"2013",19,2013-01-01,"February","Alagoas"
"2014",29,2014-01-01,"February","Alagoas"
"2015",46,2015-01-01,"February","Alagoas"
"2016",14,2016-01-01,"February","Alagoas"
"2017",21,2017-01-01,"February","Alagoas"
"1998",0,1998-01-01,"March","Alagoas"
"1999",52,1999-01-01,"March","Alagoas"
"2000",32,2000-01-01,"March","Alagoas"
"2001",0,2001-01-01,"March","Alagoas"
"2002",27,2002-01-01,"March","Alagoas"
"2003",15,2003-01-01,"March","Alagoas"
"2004",16,2004-01-01,"March","Alagoas"
"2005",35,2005-01-01,"March","Alagoas"
"2006",37,2006-01-01,"March","Alagoas"
"2007",7,2007-01-01,"March","Alagoas"
"2008",31,2008-01-01,"March","Alagoas"
"2009",31,2009-01-01,"March","Alagoas"
"2010",70,2010-01-01,"March","Alagoas"
"2011",34,2011-01-01,"March","Alagoas"
"2012",44,2012-01-01,"March","Alagoas"
"2013",31,2013-01-01,"March","Alagoas"
"2014",28,2014-01-01,"March","Alagoas"
"2015",32,2015-01-01,"March","Alagoas"
"2016",9,2016-01-01,"March","Alagoas"
"2017",23,2017-01-01,"March","Alagoas"
"1998",0,1998-01-01,"April","Alagoas"
"1999",4,1999-01-01,"April","Alagoas"
"2000",20,2000-01-01,"April","Alagoas"
"2001",0,2001-01-01,"April","Alagoas"
"2002",6,2002-01-01,"April","Alagoas"
"2003",20,2003-01-01,"April","Alagoas"
"2004",6,2004-01-01,"April","Alagoas"
"2005",1,2005-01-01,"April","Alagoas"
"2006",2,2006-01-01,"April","Alagoas"
"2007",1,2007-01-01,"April","Alagoas"
"2008",18,2008-01-01,"April","Alagoas"
"2009",5,2009-01-01,"April","Alagoas"
"2010",3,2010-01-01,"April","Alagoas"
"2011",17,2011-01-01,"April","Alagoas"
"2012",18,2012-01-01,"April","Alagoas"
"2013",25,2013-01-01,"April","Alagoas"
"2014",16,2014-01-01,"April","Alagoas"
"2015",63,2015-01-01,"April","Alagoas"
"2016",13,2016-01-01,"April","Alagoas"
"2017",7,2017-01-01,"April","Alagoas"
"1998",0,1998-01-01,"May","Alagoas"
"1999",1,1999-01-01,"May","Alagoas"
"2000",1,2000-01-01,"May","Alagoas"
"2001",2,2001-01-01,"May","Alagoas"
"2002",1,2002-01-01,"May","Alagoas"
"2003",1,2003-01-01,"May","Alagoas"
"2004",3,2004-01-01,"May","Alagoas"
"2005",0,2005-01-01,"May","Alagoas"
"2006",0,2006-01-01,"May","Alagoas"
"2007",0,2007-01-01,"May","Alagoas"
"2008",0,2008-01-01,"May","Alagoas"
"2009",0,2009-01-01,"May","Alagoas"
"2010",0,2010-01-01,"May","Alagoas"
"2011",0,2011-01-01,"May","Alagoas"
"2012",21,2012-01-01,"May","Alagoas"
"2013",2,2013-01-01,"May","Alagoas"
"2014",1,2014-01-01,"May","Alagoas"
"2015",18,2015-01-01,"May","Alagoas"
"2016",4,2016-01-01,"May","Alagoas"
"2017",1,2017-01-01,"May","Alagoas"
"1998",0,1998-01-01,"June","Alagoas"
"1999",0,1999-01-01,"June","Alagoas"
"2000",0,2000-01-01,"June","Alagoas"
"2001",2,2001-01-01,"June","Alagoas"
"2002",0,2002-01-01,"June","Alagoas"
"2003",0,2003-01-01,"June","Alagoas"
"2004",0,2004-01-01,"June","Alagoas"
"2005",0,2005-01-01,"June","Alagoas"
"2006",0,2006-01-01,"June","Alagoas"
"2007",0,2007-01-01,"June","Alagoas"
"2008",0,2008-01-01,"June","Alagoas"
"2009",0,2009-01-01,"June","Alagoas"
"2010",0,2010-01-01,"June","Alagoas"
"2011",2,2011-01-01,"June","Alagoas"
"2012",4,2012-01-01,"June","Alagoas"
"2013",1,2013-01-01,"June","Alagoas"
"2014",2,2014-01-01,"June","Alagoas"
"2015",2,2015-01-01,"June","Alagoas"
"2016",5,2016-01-01,"June","Alagoas"
"2017",2,2017-01-01,"June","Alagoas"
"1998",0,1998-01-01,"July","Alagoas"
"1999",0,1999-01-01,"July","Alagoas"
"2000",0,2000-01-01,"July","Alagoas"
"2001",0,2001-01-01,"July","Alagoas"
"2002",5,2002-01-01,"July","Alagoas"
"2003",0,2003-01-01,"July","Alagoas"
"2004",0,2004-01-01,"July","Alagoas"
"2005",0,2005-01-01,"July","Alagoas"
"2006",0,2006-01-01,"July","Alagoas"
"2007",0,2007-01-01,"July","Alagoas"
"2008",0,2008-01-01,"July","Alagoas"
"2009",0,2009-01-01,"July","Alagoas"
"2010",2,2010-01-01,"July","Alagoas"
"2011",0,2011-01-01,"July","Alagoas"
"2012",0,2012-01-01,"July","Alagoas"
"2013",0,2013-01-01,"July","Alagoas"
"2014",1,2014-01-01,"July","Alagoas"
"2015",0,2015-01-01,"July","Alagoas"
"2016",3,2016-01-01,"July","Alagoas"
"2017",0,2017-01-01,"July","Alagoas"
"1998",1,1998-01-01,"August","Alagoas"
"1999",3,1999-01-01,"August","Alagoas"
"2000",4,2000-01-01,"August","Alagoas"
"2001",1,2001-01-01,"August","Alagoas"
"2002",3,2002-01-01,"August","Alagoas"
"2003",2,2003-01-01,"August","Alagoas"
"2004",2,2004-01-01,"August","Alagoas"
"2005",2,2005-01-01,"August","Alagoas"
"2006",1,2006-01-01,"August","Alagoas"
"2007",3,2007-01-01,"August","Alagoas"
"2008",1,2008-01-01,"August","Alagoas"
"2009",0,2009-01-01,"August","Alagoas"
"2010",1,2010-01-01,"August","Alagoas"
"2011",4,2011-01-01,"August","Alagoas"
"2012",0,2012-01-01,"August","Alagoas"
"2013",0,2013-01-01,"August","Alagoas"
"2014",3,2014-01-01,"August","Alagoas"
"2015",3,2015-01-01,"August","Alagoas"
"2016",5,2016-01-01,"August","Alagoas"
"2017",1,2017-01-01,"August","Alagoas"
"1998",14,1998-01-01,"September","Alagoas"
"1999",3,1999-01-01,"September","Alagoas"
"2000",22,2000-01-01,"September","Alagoas"
"2001",5,2001-01-01,"September","Alagoas"
"2002",14,2002-01-01,"September","Alagoas"
"2003",8,2003-01-01,"September","Alagoas"
"2004",5,2004-01-01,"September","Alagoas"
"2005",7,2005-01-01,"September","Alagoas"
"2006",4,2006-01-01,"September","Alagoas"
"2007",2,2007-01-01,"September","Alagoas"
"2008",9,2008-01-01,"September","Alagoas"
"2009",13,2009-01-01,"September","Alagoas"
"2010",5,2010-01-01,"September","Alagoas"
"2011",5,2011-01-01,"September","Alagoas"
"2012",6,2012-01-01,"September","Alagoas"
"2013",4,2013-01-01,"September","Alagoas"
"2014",11,2014-01-01,"September","Alagoas"
"2015",7,2015-01-01,"September","Alagoas"
"2016",18,2016-01-01,"September","Alagoas"
"2017",4,2017-01-01,"September","Alagoas"
"1998",20,1998-01-01,"October","Alagoas"
"1999",4,1999-01-01,"October","Alagoas"
"2000",13,2000-01-01,"October","Alagoas"
"2001",15,2001-01-01,"October","Alagoas"
"2002",30,2002-01-01,"October","Alagoas"
"2003",10,2003-01-01,"October","Alagoas"
"2004",12,2004-01-01,"October","Alagoas"
"2005",17,2005-01-01,"October","Alagoas"
"2006",32,2006-01-01,"October","Alagoas"
"2007",6,2007-01-01,"October","Alagoas"
"2008",18,2008-01-01,"October","Alagoas"
"2009",30,2009-01-01,"October","Alagoas"
"2010",16,2010-01-01,"October","Alagoas"
"2011",23,2011-01-01,"October","Alagoas"
"2012",28,2012-01-01,"October","Alagoas"
"2013",25,2013-01-01,"October","Alagoas"
"2014",7,2014-01-01,"October","Alagoas"
"2015",40,2015-01-01,"October","Alagoas"
"2016",74,2016-01-01,"October","Alagoas"
"2017",14,2017-01-01,"October","Alagoas"
"1998",19,1998-01-01,"November","Alagoas"
"1999",15,1999-01-01,"November","Alagoas"
"2000",2,2000-01-01,"November","Alagoas"
"2001",22,2001-01-01,"November","Alagoas"
"2002",50,2002-01-01,"November","Alagoas"
"2003",17,2003-01-01,"November","Alagoas"
"2004",28,2004-01-01,"November","Alagoas"
"2005",25,2005-01-01,"November","Alagoas"
"2006",12,2006-01-01,"November","Alagoas"
"2007",15,2007-01-01,"November","Alagoas"
"2008",37,2008-01-01,"November","Alagoas"
"2009",55,2009-01-01,"November","Alagoas"
"2010",31,2010-01-01,"November","Alagoas"
"2011",23,2011-01-01,"November","Alagoas"
"2012",95,2012-01-01,"November","Alagoas"
"2013",10,2013-01-01,"November","Alagoas"
"2014",14,2014-01-01,"November","Alagoas"
"2015",162,2015-01-01,"November","Alagoas"
"2016",76,2016-01-01,"November","Alagoas"
"2017",10,2017-01-01,"November","Alagoas"
"1998",32,1998-01-01,"December","Alagoas"
"1999",12,1999-01-01,"December","Alagoas"
"2000",2,2000-01-01,"December","Alagoas"
"2001",30,2001-01-01,"December","Alagoas"
"2002",95,2002-01-01,"December","Alagoas"
"2003",43,2003-01-01,"December","Alagoas"
"2004",71,2004-01-01,"December","Alagoas"
"2005",16,2005-01-01,"December","Alagoas"
"2006",30,2006-01-01,"December","Alagoas"
"2007",33,2007-01-01,"December","Alagoas"
"2008",34,2008-01-01,"December","Alagoas"
"2009",55,2009-01-01,"December","Alagoas"
"2010",45,2010-01-01,"December","Alagoas"
"2011",50,2011-01-01,"December","Alagoas"
"2012",59,2012-01-01,"December","Alagoas"
"2013",42,2013-01-01,"December","Alagoas"
"2014",24,2014-01-01,"December","Alagoas"
"2015",136,2015-01-01,"December","Alagoas"
"2016",155,2016-01-01,"December","Alagoas"
"1998",0,1998-01-01,"January","Amapa"
"1999",0,1999-01-01,"January","Amapa"
"2000",2,2000-01-01,"January","Amapa"
"2001",0,2001-01-01,"January","Amapa"
"2002",7,2002-01-01,"January","Amapa"
"2003",31,2003-01-01,"January","Amapa"
"2004",38,2004-01-01,"January","Amapa"
"2005",109,2005-01-01,"January","Amapa"
"2006",6,2006-01-01,"January","Amapa"
"2007",0,2007-01-01,"January","Amapa"
"2008",2,2008-01-01,"January","Amapa"
"2009",4,2009-01-01,"January","Amapa"
"2010",2,2010-01-01,"January","Amapa"
"2011",0,2011-01-01,"January","Amapa"
"2012",30,2012-01-01,"January","Amapa"
"2013",3,2013-01-01,"January","Amapa"
"2014",10,2014-01-01,"January","Amapa"
"2015",14,2015-01-01,"January","Amapa"
"2016",19,2016-01-01,"January","Amapa"
"2017",2,2017-01-01,"January","Amapa"
"1998",0,1998-01-01,"February","Amapa"
"1999",1,1999-01-01,"February","Amapa"
"2000",0,2000-01-01,"February","Amapa"
"2001",0,2001-01-01,"February","Amapa"
"2002",2,2002-01-01,"February","Amapa"
"2003",0,2003-01-01,"February","Amapa"
"2004",2,2004-01-01,"February","Amapa"
"2005",1,2005-01-01,"February","Amapa"
"2006",2,2006-01-01,"February","Amapa"
"2007",0,2007-01-01,"February","Amapa"
"2008",0,2008-01-01,"February","Amapa"
"2009",0,2009-01-01,"February","Amapa"
"2010",0,2010-01-01,"February","Amapa"
"2011",3,2011-01-01,"February","Amapa"
"2012",5,2012-01-01,"February","Amapa"
"2013",0,2013-01-01,"February","Amapa"
"2014",2,2014-01-01,"February","Amapa"
"2015",1,2015-01-01,"February","Amapa"
"2016",1,2016-01-01,"February","Amapa"
"2017",0,2017-01-01,"February","Amapa"
"1998",0,1998-01-01,"March","Amapa"
"1999",2,1999-01-01,"March","Amapa"
"2000",0,2000-01-01,"March","Amapa"
"2001",0,2001-01-01,"March","Amapa"
"2002",0,2002-01-01,"March","Amapa"
"2003",1,2003-01-01,"March","Amapa"
"2004",0,2004-01-01,"March","Amapa"
"2005",0,2005-01-01,"March","Amapa"
"2006",0,2006-01-01,"March","Amapa"
"2007",0,2007-01-01,"March","Amapa"
"2008",1,2008-01-01,"March","Amapa"
"2009",1,2009-01-01,"March","Amapa"
"2010",2,2010-01-01,"March","Amapa"
"2011",0,2011-01-01,"March","Amapa"
"2012",1,2012-01-01,"March","Amapa"
"2013",0,2013-01-01,"March","Amapa"
"2014",1,2014-01-01,"March","Amapa"
"2015",2,2015-01-01,"March","Amapa"
"2016",5,2016-01-01,"March","Amapa"
"2017",0,2017-01-01,"March","Amapa"
"1998",0,1998-01-01,"April","Amapa"
"1999",0,1999-01-01,"April","Amapa"
"2000",0,2000-01-01,"April","Amapa"
"2001",0,2001-01-01,"April","Amapa"
"2002",0,2002-01-01,"April","Amapa"
"2003",2,2003-01-01,"April","Amapa"
"2004",0,2004-01-01,"April","Amapa"
"2005",0,2005-01-01,"April","Amapa"
"2006",0,2006-01-01,"April","Amapa"
"2007",0,2007-01-01,"April","Amapa"
"2008",2,2008-01-01,"April","Amapa"
"2009",0,2009-01-01,"April","Amapa"
"2010",2,2010-01-01,"April","Amapa"
"2011",0,2011-01-01,"April","Amapa"
"2012",2,2012-01-01,"April","Amapa"
"2013",2,2013-01-01,"April","Amapa"
"2014",0,2014-01-01,"April","Amapa"
"2015",0,2015-01-01,"April","Amapa"
"2016",0,2016-01-01,"April","Amapa"
"2017",3,2017-01-01,"April","Amapa"
"1998",0,1998-01-01,"May","Amapa"
"1999",0,1999-01-01,"May","Amapa"
"2000",0,2000-01-01,"May","Amapa"
"2001",0,2001-01-01,"May","Amapa"
"2002",3,2002-01-01,"May","Amapa"
"2003",0,2003-01-01,"May","Amapa"
"2004",0,2004-01-01,"May","Amapa"
"2005",0,2005-01-01,"May","Amapa"
"2006",0,2006-01-01,"May","Amapa"
"2007",0,2007-01-01,"May","Amapa"
"2008",0,2008-01-01,"May","Amapa"
"2009",2,2009-01-01,"May","Amapa"
"2010",2,2010-01-01,"May","Amapa"
"2011",2,2011-01-01,"May","Amapa"
"2012",2,2012-01-01,"May","Amapa"
"2013",0,2013-01-01,"May","Amapa"
"2014",0,2014-01-01,"May","Amapa"
"2015",0,2015-01-01,"May","Amapa"
"2016",1,2016-01-01,"May","Amapa"
"2017",1,2017-01-01,"May","Amapa"
"1998",0,1998-01-01,"June","Amapa"
"1999",2,1999-01-01,"June","Amapa"
"2000",0,2000-01-01,"June","Amapa"
"2001",0,2001-01-01,"June","Amapa"
"2002",0,2002-01-01,"June","Amapa"
"2003",0,2003-01-01,"June","Amapa"
"2004",5,2004-01-01,"June","Amapa"
"2005",2,2005-01-01,"June","Amapa"
"2006",0,2006-01-01,"June","Amapa"
"2007",0,2007-01-01,"June","Amapa"
"2008",0,2008-01-01,"June","Amapa"
"2009",1,2009-01-01,"June","Amapa"
"2010",0,2010-01-01,"June","Amapa"
"2011",0,2011-01-01,"June","Amapa"
"2012",7,2012-01-01,"June","Amapa"
"2013",1,2013-01-01,"June","Amapa"
"2014",0,2014-01-01,"June","Amapa"
"2015",3,2015-01-01,"June","Amapa"
"2016",2,2016-01-01,"June","Amapa"
"2017",2,2017-01-01,"June","Amapa"
"1998",0,1998-01-01,"July","Amapa"
"1999",0,1999-01-01,"July","Amapa"
"2000",0,2000-01-01,"July","Amapa"
"2001",1,2001-01-01,"July","Amapa"
"2002",1,2002-01-01,"July","Amapa"
"2003",0,2003-01-01,"July","Amapa"
"2004",2,2004-01-01,"July","Amapa"
"2005",0,2005-01-01,"July","Amapa"
"2006",0,2006-01-01,"July","Amapa"
"2007",0,2007-01-01,"July","Amapa"
"2008",0,2008-01-01,"July","Amapa"
"2009",4,2009-01-01,"July","Amapa"
"2010",2,2010-01-01,"July","Amapa"
"2011",5,2011-01-01,"July","Amapa"
"2012",3,2012-01-01,"July","Amapa"
"2013",1,2013-01-01,"July","Amapa"
"2014",4,2014-01-01,"July","Amapa"
"2015",5,2015-01-01,"July","Amapa"
"2016",1,2016-01-01,"July","Amapa"
"2017",3,2017-01-01,"July","Amapa"
"1998",1,1998-01-01,"August","Amapa"
"1999",0,1999-01-01,"August","Amapa"
"2000",3,2000-01-01,"August","Amapa"
"2001",12,2001-01-01,"August","Amapa"
"2002",18,2002-01-01,"August","Amapa"
"2003",14,2003-01-01,"August","Amapa"
"2004",9,2004-01-01,"August","Amapa"
"2005",4,2005-01-01,"August","Amapa"
"2006",11,2006-01-01,"August","Amapa"
"2007",5,2007-01-01,"August","Amapa"
"2008",4,2008-01-01,"August","Amapa"
"2009",20,2009-01-01,"August","Amapa"
"2010",1,2010-01-01,"August","Amapa"
"2011",16,2011-01-01,"August","Amapa"
"2012",19,2012-01-01,"August","Amapa"
